Code,Longitude,Latitude,Coordonnees
8510,3.2800137,50.7781502,"50.7781502,3.2800137"
8511,3.2186046321991,50.77745545,"50.77745545,3.2186046322"
8520,3.2736322150643,50.86005145,"50.86005145,3.27363221506"
8530,3.3425511,50.8293249,"50.8293249,3.3425511"
8531,3.3126044844799,50.8790473,"50.8790473,3.31260448448"
8540,3.3622790229139,50.83878495,"50.83878495,3.36227902291"
8550,3.3419067426276,50.80406995,"50.80406995,3.34190674263"
8551,3.4120184,50.7821543,"50.7821543,3.4120184"
8552,3.3825263241918,50.775415,"50.775415,3.38252632419"
8553,3.4245499365566,50.80927585,"50.80927585,3.42454993656"
8554,3.349745322203,50.76440175,"50.76440175,3.3497453222"
8560,3.2026154878227,50.84493445,"50.84493445,3.20261548782"
8570,3.5060602,50.8279177,"50.8279177,3.5060602"
8572,3.4976090001837,50.8121917,"50.8121917,3.49760900018"
8573,3.4697738543929,50.8130531,"50.8130531,3.46977385439"
8580,3.4468985313677,50.7754997,"50.7754997,3.44689853137"
8581,3.5058971661987,50.8008418,"50.8008418,3.5058971662"
8582,3.4257331809137,50.75868715,"50.75868715,3.42573318091"
8583,3.4080819304802,50.74804505,"50.74804505,3.40808193048"
8587,3.3837254,50.7300021,"50.7300021,3.3837254"
8600,2.8387074,51.0358094,"51.0358094,2.8387074"
8610,2.996075151704,51.0321939,"51.0321939,2.9960751517"
8620,2.7283986495034,51.144160050000004,"51.14416005,2.7283986495"
8630,2.7399983485035,51.08832895,"51.08832895,2.7399983485"
8640,2.7887585311487,50.9035513,"50.9035513,2.78875853115"
8647,2.7771170853989,50.94228475,"50.94228475,2.7771170854"
8650,2.9438110508216,50.97407785,"50.97407785,2.94381105082"
8660,2.5806696887141,51.09437775,"51.09437775,2.58066968871"
8670,2.6353426015022,51.1091101,"51.1091101,2.6353426015"
8680,2.9633414725432,51.05621365,"51.05621365,2.96334147254"
8690,2.7051716,51.0235332,"51.0235332,2.7051716"
8691,2.622401,50.9844835,"50.9844835,2.622401"
8700,3.3283107336881,51.03700665,"51.03700665,3.32831073369"
8710,3.3862545030012,50.9245338,"50.9245338,3.386254503"
8720,3.4022937173313,50.966125,"50.966125,3.40229371733"
8730,3.3441122702909,51.166016,"51.166016,3.34411227029"
8740,3.2540634837689,51.0209559,"51.0209559,3.25406348377"
8750,3.2847683081115,51.06808895,"51.06808895,3.28476830811"
8755,3.3789495803068,51.062755,"51.062755,3.37894958031"
8760,3.2859605761212,50.9484788,"50.9484788,3.28596057612"
8770,3.2617189739329,50.92196635,"50.92196635,3.26171897393"
8780,3.3468206372996,50.93434535,"50.93434535,3.3468206373"
8790,3.4257380400092,50.87620025,"50.87620025,3.42573804001"
8791,3.3427472358752,50.871701,"50.871701,3.34274723588"
8792,3.3669119563274,50.88302825,"50.88302825,3.36691195633"
8793,3.4036062,50.9057236,"50.9057236,3.4036062"
8800,3.1627760972777,50.9042588,"50.9042588,3.16277609728"
8810,3.1422717715338,51.03033065,"51.03033065,3.14227177153"
8820,3.0913072045454,51.0585915,"51.0585915,3.09130720455"
8830,3.0687215849639,50.98218015,"50.98218015,3.06872158496"
8840,3.001340623187,50.97048785,"50.97048785,3.00134062319"
8850,3.2045936674459,50.97076545,"50.97076545,3.20459366745"
8851,3.2016142835313,51.0075272,"51.0075272,3.20161428353"
8860,3.2320134658174,50.8850661,"50.8850661,3.23201346582"
8870,3.2090654210557,50.91382225,"50.91382225,3.20906542106"
8880,3.179116,50.8765142,"50.8765142,3.179116"
8890,3.1056665757612,50.84693275,"50.84693275,3.10566657576"
8900,2.8475388,50.8689046,"50.8689046,2.8475388"
8902,2.9383694,50.8056486,"50.8056486,2.9383694"
8904,2.8624482523982002,50.89329445,"50.89329445,2.8624482524"
8906,2.8086072093094,50.88120105,"50.88120105,2.80860720931"
8908,2.8146596555515,50.84722495,"50.84722495,2.81465965555"
8920,2.863108835832,50.92504495,"50.92504495,2.86310883583"
8930,3.1156565,50.7969879,"50.7969879,3.1156565"
8940,3.0689009201802,50.826939,"50.826939,3.06890092018"
8950,2.8251932,50.7457387,"50.7457387,2.8251932"
8951,2.7832991,50.7662832,"50.7662832,2.7832991"
8952,2.840869239241,50.7675035,"50.7675035,2.84086923924"
8953,2.9126192876216,50.7832683,"50.7832683,2.91261928762"
8954,2.7409610507934,50.8003371,"50.8003371,2.74096105079"
8956,2.8383675286243,50.7952131,"50.7952131,2.83836752862"
8957,2.9001214234264,50.7596526,"50.7596526,2.90012142343"
8958,2.7797309731213,50.78372855,"50.78372855,2.77973097312"
8970,2.7636029,50.8170498,"50.8170498,2.7636029"
8972,2.6262588,50.9150531,"50.9150531,2.6262588"
8978,2.6449117149406,50.84518645,"50.84518645,2.64491171494"
8980,3.0054428297242,50.89915125,"50.89915125,3.00544282972"
9000,3.7141549000597,51.0397129,"51.0397129,3.71415490006"
9030,3.6781210300259,51.0731177,"51.0731177,3.67812103003"
9031,3.6395168043236,51.0528944,"51.0528944,3.63951680432"
9032,3.7034612746567,51.09349535,"51.09349535,3.70346127466"
9040,3.7488657,51.061875,"51.061875,3.7488657"
9041,3.7644128,51.1001986,"51.1001986,3.7644128"
9042,3.7836111,51.1221778,"51.1221778,3.7836111"
9050,3.7414088,51.0372053,"51.0372053,3.7414088"
9051,3.6575415863856,51.0299989,"51.0299989,3.65754158639"
9052,3.7021790930106,51.00092235,"51.00092235,3.70217909301"
9060,3.8105002,51.2000036,"51.2000036,3.8105002"
9070,3.7978887,51.0556204,"51.0556204,3.7978887"
9080,3.8792625,51.0802144,"51.0802144,3.8792625"
9090,3.7976423,50.9842505,"50.9842505,3.7976423"
9100,4.1780279,51.1933908,"51.1933908,4.1780279"
9111,4.0917750185456,51.1570236,"51.1570236,4.09177501855"
9112,3.9795579,51.1866966,"51.1866966,3.9795579"
9120,4.2588008641609,51.2652143,"51.2652143,4.25880086416"
9130,4.2456374474582,51.3181461,"51.3181461,4.24563744746"
9140,4.1457568844955,51.12017065,"51.12017065,4.1457568845"
9150,4.2873842506575,51.14685855,"51.14685855,4.28738425066"
9160,3.965212,51.1487608,"51.1487608,3.965212"
9170,4.1233014,51.2180687,"51.2180687,4.1233014"
9180,3.9446436,51.1742698,"51.1742698,3.9446436"
9185,3.8574284,51.1701927,"51.1701927,3.8574284"
9190,4.0240412532131,51.2104744,"51.2104744,4.02404125321"
9200,4.1025435644905,51.0533487,"51.0533487,4.10254356449"
9220,4.1585956393745,51.06183125,"51.06183125,4.15859563937"
9230,3.8735741,50.9809343,"50.9809343,3.8735741"
9240,4.0385864,51.0683621,"51.0683621,4.0385864"
9250,4.0842158,51.1097147,"51.1097147,4.0842158"
9255,4.2213781726505,51.0286063,"51.0286063,4.22137817265"
9260,3.9806438098974,51.0020843,"51.0020843,3.9806438099"
9270,3.8504738,51.029657,"51.029657,3.8504738"
9280,4.1307711,51.0004013,"51.0004013,4.1307711"
9290,4.0113470297154,51.0301606,"51.0301606,4.01134702972"
9300,4.0396424203486,50.9429755,"50.9429755,4.03964242035"
9308,4.0413684723722,50.9831967,"50.9831967,4.04136847237"
9310,4.1008746699882,50.95235015,"50.95235015,4.10087466999"
9320,4.0573610045016,50.9160962,"50.9160962,4.0573610045"
9340,3.9521618,50.9605364,"50.9605364,3.9521618"
9400,3.9750229,50.8463587,"50.8463587,3.9750229"
9401,3.9969451,50.8168641,"50.8168641,3.9969451"
9402,4.0458501718008,50.81972985,"50.81972985,4.0458501718"
9403,4.0606636,50.803005,"50.803005,4.0606636"
9404,3.9584406,50.8421637,"50.8421637,3.9584406"
9406,3.9976558921405,50.84658595,"50.84658595,3.99765589214"
9420,3.9203695,50.9136525,"50.9136525,3.9203695"
9450,4.0057717,50.9022532,"50.9022532,4.0057717"
9451,3.9792346670559,50.88457295,"50.88457295,3.97923466706"
9470,4.0665468327116,50.8843903,"50.8843903,4.06654683271"
9472,4.0440509206633,50.8746795,"50.8746795,4.04405092066"
9473,4.0448599,50.9005405,"50.9005405,4.0448599"
9500,3.897035,50.8218582,"50.8218582,3.897035"
9506,3.968228,50.7779309,"50.7779309,3.968228"
9520,3.9009360317784,50.935088,"50.935088,3.90093603178"
9521,3.8812597,50.92696,"50.92696,3.8812597"
9550,3.9158325,50.8726761,"50.8726761,3.9158325"
9551,3.9109808,50.8920791,"50.8920791,3.9109808"
9552,3.8945771,50.9047179,"50.9047179,3.8945771"
